"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_auc"
"ENSG00000148357.17",2.38276955632606,2.07374969161367,0.406399850888593,5.10273241262126,3.34784214648489e-07,8.45257503175191e-06,0.761171032357473
"ENSG00000264169.2",16.6955287774587,-1.01064047351842,0.270392855128263,-3.73767447752648,0.000185730197262395,0.00144168041053188,0.737442218798151
"ENSG00000130707.18",6.06067325641658,-0.731817226936067,0.235150851774292,-3.11211812083291,0.00185750160433912,0.00896644060094871,0.688751926040062
"ENSG00000130720.13",0.976141116988975,2.96800200236904,0.608682361739336,4.87610975597821,1.0819842213127e-06,2.15098791817836e-05,0.639291217257319
"ENSG00000050555.19",0.77575977713885,2.48990977111919,0.516147615736346,4.82402649010988,1.40688719858132e-06,2.66480657556611e-05,0.647611710323575
"ENSG00000236986.6",0.589445526074131,2.8546256506954,0.622633094490961,4.58476376529459,4.54500007302233e-06,7.04959667724351e-05,0.654237288135593
"ENSG00000246851.1",0.472763447259063,1.87745624488729,0.778318551348358,2.41219516306631,0.0158567911223019,0.0458287344258866,0.564252696456086
"ENSG00000126882.13",33.9716766749511,-0.38021759562785,0.0896520576722779,-4.24103590592121,2.22490537185489e-05,0.000257888161279366,0.738366718027735
"ENSG00000288701.1",98.3557444622913,-0.488440641667592,0.0786214041675788,-6.21256573625291,5.21263620129615e-10,4.3189000323524e-08,0.808628659476117
"ENSG00000107263.19",93.6628421773234,-0.357936369782407,0.100411229880014,-3.56470456750827,0.000364266254648268,0.00245298844629654,0.714329738058552
"ENSG00000107290.14",114.035499883589,-0.202351771604325,0.0607586343596482,-3.33042000922116,0.000867150745774419,0.00493666902062749,0.674268104776579
"ENSG00000188523.9",0.46149160568471,2.62651451562763,0.800568207516684,3.28081291633467,0.00103508376393907,0.00566483342547086,0.624961479198767
"ENSG00000252521.1",2.50680313755744,2.3081154918094,0.542451439663081,4.25497163993699,2.09075513484033e-05,0.000245913956321313,0.65824345146379
"ENSG00000165695.10",0.364002327005594,1.52932951723491,0.620400359538493,2.46506871526082,0.0136986977858597,0.0410694269356896,0.531278890600924
"ENSG00000196205.8",141.505390477573,-0.618564525556209,0.134261222231824,-4.60717186447294,4.08182618449027e-06,6.46132848623484e-05,0.756548536209553
"ENSG00000148297.16",8.61183937918472,-0.580507816314817,0.156976799494397,-3.69804848986959,0.00021726339193151,0.00163148934697587,0.696918335901387
"ENSG00000148303.17",387.755224945156,-0.343404085354845,0.0795619160946354,-4.31618671609644,1.58747714527074e-05,0.000196376263217311,0.733744221879815
"ENSG00000148291.10",5.46223960905004,-0.531655379119967,0.200035614044801,-2.65780361991387,0.0078651708641016,0.0271526771576883,0.67673343605547
"ENSG00000198870.8",0.945120818751617,2.67431526091593,0.554540999422004,4.82257446014516,1.41717099998052e-06,2.67322558512175e-05,0.64406779661017
"ENSG00000148300.12",20.8859512146525,-0.33694163788995,0.118506292758121,-2.8432383635329,0.00446576580128835,0.0176504371784202,0.670261941448382
"ENSG00000160323.19",0.625280117592365,1.54815049522785,0.527697110941493,2.93378618743186,0.00334854792187153,0.0142301057767311,0.570416024653313
"ENSG00000197859.11",0.692318756771253,1.68318772727948,0.593323629101241,2.83687964665953,0.00455567811126088,0.0179205552342522,0.556702619414484
"ENSG00000123454.12",0.580314369157496,2.05073629363309,0.574960177515961,3.56674492221882,0.000361442992092984,0.00243836650836859,0.595685670261941
"ENSG00000160293.17",14.9633844909735,-0.776246330958618,0.154085583892071,-5.03776090761572,4.7100928032476e-07,1.09435779835165e-05,0.76979969183359
"ENSG00000130635.16",2.61109695431088,1.5483437142265,0.347905781653195,4.45046847703711,8.56831705657517e-06,0.00011945456718597,0.673343605546995
"ENSG00000286502.1",0.386096974239632,2.49235497932604,1.02220311138237,2.43821893278677,0.0147598317811831,0.0435074802881497,0.593374422187982
"ENSG00000160339.16",8.17468495426737,0.949167327103281,0.329024952375027,2.88478828201883,0.00391676970464005,0.0160533601137893,0.544992295839754
"ENSG00000225361.4",0.705755071115444,2.66268011599854,0.657932835476404,4.04703941257243,5.18695104240136e-05,0.000512084284284135,0.571032357473035
"ENSG00000165643.11",0.353174876440097,2.41021998307311,0.909874603500595,2.64895841009319,0.00807402670579347,0.0276892462093816,0.597534668721109
"ENSG00000107147.14",1.14100893862201,2.57658263294213,0.457921369153401,5.62669228061072,1.83698000381821e-08,7.51497038437007e-07,0.666718027734977
"ENSG00000130560.9",21.3342254041215,0.468200862753398,0.118411345998466,3.9540202740324,7.68488933974562e-05,0.000704995699695935,0.644067796610169
"ENSG00000148411.8",26.1663501480715,-0.491790810902,0.118801969790501,-4.13958465309319,3.47935193771729e-05,0.000369110180037739,0.733436055469954
"ENSG00000107187.17",1.34117451564434,3.93026992712163,0.642487442988095,6.11727119341452,9.51912933609855e-10,6.84753649697184e-08,0.714175654853621
"ENSG00000260220.7",1.19040942065299,1.77772884754086,0.467862463323123,3.79968257105742,0.000144881544484204,0.00118097403414864,0.605238828967642
"ENSG00000279141.4",0.352966630413066,1.79585158606795,0.6687302812177,2.68546473295312,0.00724290181022724,0.0254336983899369,0.562403697996918
"ENSG00000228401.5",0.818436653460685,1.44058481480919,0.519744843923449,2.77171545163297,0.00557617570317653,0.0209132548718762,0.560708782742681
"ENSG00000187922.14",0.380212231114005,1.64055050232781,0.689848632539929,2.3781311217325,0.0174006371457375,0.0490877579732464,0.541140215716487
"ENSG00000273066.5",0.784345498768322,1.84879117643895,0.54824248578568,3.37221434743327,0.000745663914884075,0.00437877430335442,0.582126348228043
"ENSG00000213212.3",0.366901392979984,2.22627494144154,0.692903975101264,3.21296315426129,0.00131373141979084,0.00681246108793105,0.593528505392912
"ENSG00000107223.13",79.0462357157584,-0.296710936819023,0.0729329060734277,-4.06827250953498,4.73629707614186e-05,0.000474753943520467,0.733127889060092
"ENSG00000176884.16",0.906700971632206,2.42004818790101,0.564718216821112,4.28540839628628,1.8240379631128e-05,0.000219900292979519,0.640986132511556
"ENSG00000176248.9",7.0011423977179,-0.407758659973507,0.167055740879832,-2.44085391993095,0.0146525804817032,0.043260471602611,0.636055469953775
"ENSG00000165802.23",7.60408420872388,-0.890340161049586,0.192327391842073,-4.62929462372513,3.66913422309125e-06,5.8935749833727e-05,0.74406779661017
"ENSG00000255585.3",0.927802527539648,1.74273143914503,0.464862530684127,3.74891785014442,0.000177599243482008,0.00139184833857202,0.575346687211094
"ENSG00000203987.3",0.356142658715097,2.18886513668512,0.877378974855444,2.49477728486229,0.0126036209587188,0.038577040442036,0.559013867488444
"ENSG00000148408.13",1.39966737131581,2.79283749251286,0.546963499678319,5.10607653738392,3.28916510966415e-07,8.34466287802585e-06,0.677041602465331
"ENSG00000151240.17",4.03725626469461,0.816928297242354,0.249981781457174,3.26795133821505,0.00108328989434686,0.00586733471530604,0.622496147919877
"ENSG00000180525.14",1.82597094982747,2.85748036510624,0.471329937116645,6.06259042781547,1.33946453048832e-09,9.06197941530881e-08,0.704160246533128
"ENSG00000107929.15",54.048682459977,0.250088063966715,0.0774214719791729,3.23021582480362,0.00123696803512578,0.00649674966813704,0.626194144838213
"ENSG00000148377.6",0.37757684551718,1.77028747421851,0.579279176908695,3.05601779726589,0.00224297941759121,0.0104175630995877,0.560708782742681
"ENSG00000229205.5",0.529660220538421,1.63651686858469,0.659370542355398,2.48193809620117,0.0130669973650873,0.0396247538814821,0.539137134052388
"ENSG00000234962.6",0.341452262228279,2.54234067943668,0.763643895081414,3.32922281682831,0.000870887017877005,0.00495020700909656,0.638520801232666
"ENSG00000234170.6",0.34847925278234,2.21271027621406,0.719297111304683,3.07621182045425,0.00209648851400078,0.00988835566088426,0.599845916795069
"ENSG00000235281.2",0.81245143403936,2.98179313870849,0.754942708605315,3.94969459896774,7.82509707159566e-05,0.000716101683077657,0.630816640986132
"ENSG00000237399.7",0.439043005294081,1.77757660417155,0.526029801111411,3.37923174773718,0.000726887059189301,0.00428855309055206,0.566101694915254
"ENSG00000226762.5",0.46300681577835,2.27366595332266,0.620156614665434,3.66627703318019,0.000246107306448813,0.00179887813998962,0.600462249614792
"ENSG00000288657.1",0.551160713170003,2.18061046750817,0.813628029263669,2.68010735751276,0.00735985515047391,0.0257614609023674,0.604314329738059
"ENSG00000233321.2",1.185318353678,1.55340960930173,0.412094399166464,3.76954797843355,0.0001635434694231,0.00130307215959696,0.594761171032357
"ENSG00000229672.3",0.44482076187816,2.34258115176193,0.95839245107071,2.44428172315507,0.0145140878431774,0.0429387398768442,0.620647149460709
"ENSG00000067082.15",84.5562447644792,0.547442661160054,0.124000196418423,4.41485317743189,1.01078569231535e-05,0.000136908385908952,0.647149460708783
"ENSG00000227101.2",0.839778545955707,2.75625559021514,0.64913764335867,4.24602642970163,2.17594974832442e-05,0.000253767110515056,0.631587057010786
